individualId,count,coverage,parent1,parent2
1,0,0.863976,0,0
2,0,0.645246,0,0
3,0,0.609778,0,0
4,0,0.599733,0,0
5,0,0.614743,0,0
6,0,0.601566,0,0
7,0,0.610880,0,0
8,0,0.548185,0,0
9,0,0.607128,0,0
10,0,0.557510,0,0
11,0,0.561958,0,0
12,0,0.575028,0,0
13,0,0.494573,0,0
14,0,0.507459,0,0
15,0,0.455222,0,0
16,0,0.489395,0,0
17,0,0.467942,0,0
18,0,0.458090,0,0
19,0,0.458090,0,0
20,0,0.449466,0,0
21,0,0.420683,0,0
22,0,0.407187,0,0
23,0,0.399892,0,0
24,0,0.390280,0,0
25,0,0.389868,0,0
26,0,0.404416,0,0
27,0,0.376372,0,0
28,0,0.404416,0,0
29,0,0.369077,0,0
30,0,0.369077,0,0
31,0,0.365389,0,0
32,0,0.353513,0,0
33,0,0.353513,0,0
34,0,0.322698,0,0
35,0,0.310352,0,0
36,0,0.310352,0,0
37,0,0.310352,0,0
38,0,0.286043,0,0
39,0,0.285128,0,0
40,0,0.285128,0,0
41,0,0.284623,0,0
42,0,0.261643,0,0
43,0,0.279537,0,0
44,0,0.206264,0,0
45,0,0.214092,0,0
46,0,0.193385,0,0
47,0,0.193385,0,0
48,0,0.208502,0,0
49,0,0.141891,0,0
50,0,0.141891,0,0
1,1,0.942803,0,0
2,1,0.942803,0,0
3,1,0.942803,0,18
4,1,0.942803,0,0
5,1,0.927651,37,4
6,1,0.912500,17,20
7,1,0.912500,12,5
8,1,0.907449,1,1
9,1,0.907449,1,5
10,1,0.912500,11,9
11,1,0.907449,3,3
12,1,0.907449,1,5
13,1,0.907449,9,4
14,1,0.907449,35,8
15,1,0.907449,8,8
16,1,0.897348,10,10
17,1,0.897348,10,10
18,1,0.902399,9,4
19,1,0.902399,9,9
20,1,0.897348,18,14
21,1,0.897348,12,5
22,1,0.887247,15,15
23,1,0.887247,15,15
24,1,0.892298,38,12
25,1,0.892298,12,12
26,1,0.892298,12,12
27,1,0.892298,13,13
28,1,0.882197,37,4
29,1,0.887247,35,18
30,1,0.887247,0,18
31,1,0.887247,30,24
32,1,0.882197,17,20
33,1,0.882197,20,20
34,1,0.882197,11,9
35,1,0.882197,22,22
36,1,0.882197,22,26
37,1,0.877146,23,23
38,1,0.877146,30,24
39,1,0.877146,26,26
40,1,0.872096,22,26
