individualId,count,coverage,parent1,parent2
1,0,0.719476,0,0
2,0,0.647085,0,0
3,0,0.635301,0,0
4,0,0.539241,0,0
5,0,0.550073,0,0
6,0,0.506316,0,0
7,0,0.580213,0,0
8,0,0.564358,0,0
9,0,0.562575,0,0
10,0,0.524259,0,0
11,0,0.522988,0,0
12,0,0.506160,0,0
13,0,0.507359,0,0
14,0,0.491470,0,0
15,0,0.492706,0,0
16,0,0.457841,0,0
17,0,0.459497,0,0
18,0,0.454446,0,0
19,0,0.475487,0,0
20,0,0.458090,0,0
21,0,0.474399,0,0
22,0,0.442015,0,0
23,0,0.394507,0,0
24,0,0.423631,0,0
25,0,0.412238,0,0
26,0,0.407187,0,0
27,0,0.439330,0,0
28,0,0.404416,0,0
29,0,0.339789,0,0
30,0,0.343645,0,0
31,0,0.353513,0,0
32,0,0.353513,0,0
33,0,0.340634,0,0
34,0,0.341167,0,0
35,0,0.361255,0,0
36,0,0.360722,0,0
37,0,0.310352,0,0
38,0,0.310352,0,0
39,0,0.310352,0,0
40,0,0.282478,0,0
41,0,0.282478,0,0
42,0,0.282478,0,0
43,0,0.285128,0,0
44,0,0.239317,0,0
45,0,0.239317,0,0
46,0,0.193385,0,0
47,0,0.141891,0,0
48,0,0.141891,0,0
49,0,0.141891,0,0
50,0,0.141891,0,0
2,1,0.817106,2,36
3,1,0.812055,16,2
7,1,0.807005,3,26
14,1,0.796904,7,7
19,1,0.791853,24,23
22,1,0.786803,17,18
25,1,0.786803,23,40
26,1,0.781752,23,23
31,1,0.786803,43,21
6,2,0.822156,3,31
7,2,0.817106,2,2
9,2,0.817106,25,3
10,2,0.817106,3,31
14,2,0.812055,7,25
16,2,0.791853,26,3
17,2,0.796904,3,31
22,2,0.796904,14,14
28,2,0.791853,19,19
31,2,0.786803,22,22
6,3,0.827207,7,31
7,3,0.822156,6,7
10,3,0.822156,7,22
12,3,0.817106,9,9
15,3,0.817106,28,10
17,3,0.817106,6,7
20,3,0.812055,17,14
21,3,0.812055,14,14
23,3,0.801954,28,17
26,3,0.791853,16,16
1,4,0.832257,0,0
4,4,0.827207,7,7
6,4,0.827207,10,12
7,4,0.827207,6,6
10,4,0.822156,21,7
11,4,0.822156,7,7
12,4,0.822156,17,12
16,4,0.817106,26,15
17,4,0.817106,10,12
19,4,0.817106,12,12
20,4,0.817106,12,12
27,4,0.817106,17,17
29,4,0.812055,20,20
35,4,0.801954,23,23
2,5,0.843481,12,1
3,5,0.838430,0,0
4,5,0.838430,1,1
6,5,0.833380,4,4
7,5,0.833380,7,29
8,5,0.833380,6,6
11,5,0.828329,10,10
13,5,0.828329,16,19
14,5,0.828329,27,17
16,5,0.828329,11,11
22,5,0.823278,17,17
26,5,0.823278,20,20
43,5,0.818228,29,29
44,5,0.808127,35,35
1,6,0.843481,2,13
2,6,0.843481,43,4
4,6,0.843481,2,3
5,6,0.843481,14,4
11,6,0.838430,3,3
13,6,0.833380,16,6
16,6,0.833380,7,7
18,6,0.833380,8,8
20,6,0.828329,11,11
22,6,0.828329,13,26
25,6,0.828329,14,22
34,6,0.823278,4,8
37,6,0.823278,14,22
48,6,0.808127,44,44
1,7,0.892176,48,18
4,7,0.897227,0,0
5,7,0.897227,2,2
7,7,0.897227,4,4
8,7,0.897227,4,34
9,7,0.897227,5,5
11,7,0.897227,5,25
15,7,0.892176,11,11
17,7,0.892176,11,1
18,7,0.887126,20,18
21,7,0.887126,13,13
23,7,0.887126,22,16
30,7,0.882075,22,22
33,7,0.882075,25,25
41,7,0.877025,37,37
1,8,0.916854,1,1
3,8,0.916854,0,0
4,8,0.921904,30,9
5,8,0.921904,4,4
9,8,0.921904,4,21
12,8,0.921904,41,11
14,8,0.921904,8,8
15,8,0.921904,7,15
17,8,0.921904,9,30
18,8,0.921904,9,9
22,8,0.916854,7,17
25,8,0.911803,18,18
26,8,0.911803,21,21
31,8,0.911803,23,23
37,8,0.906753,5,30
40,8,0.906753,33,33
1,9,0.916854,3,3
3,9,0.916854,1,1
6,9,0.916854,0,0
15,9,0.921904,5,9
20,9,0.921904,17,37
22,9,0.921904,4,12
24,9,0.921904,14,22
28,9,0.921904,18,18
31,9,0.921904,5,15
33,9,0.911803,25,31
37,9,0.911803,26,40
39,9,0.911803,25,31
49,9,0.906753,14,31
2,10,0.921904,1,37
5,10,0.916854,33,1
6,10,0.916854,3,15
7,10,0.916854,3,3
10,10,0.916854,1,1
11,10,0.916854,0,0
12,10,0.916854,6,6
26,10,0.921904,20,49
29,10,0.921904,22,22
30,10,0.921904,24,24
32,10,0.921904,28,28
34,10,0.921904,31,31
40,10,0.911803,1,37
43,10,0.911803,39,39
1,11,0.921904,0,0
3,11,0.921904,2,2
5,11,0.916854,5,5
10,11,0.916854,12,11
11,11,0.916854,10,10
12,11,0.916854,10,6
18,11,0.916854,11,7
22,11,0.916854,10,6
23,11,0.916854,7,7
33,11,0.921904,34,26
34,11,0.921904,26,26
36,11,0.921904,29,29
38,11,0.921904,30,30
41,11,0.921904,32,32
46,11,0.911803,40,40
48,11,0.911803,43,43
3,12,0.923311,1,1
6,12,0.923311,3,3
11,12,0.913210,5,34
