individualId,count,coverage,parent1,parent2
1,1,0.234,0,0
2,1,0.542,0,0
3,1,0.654,0,0
4,1,0.876,0,0
5,1,0.321,0,0
1,2,0.512,1,2
2,2,0.412,3,4
3,2,0.678,2,5
4,2,0.897,4,1
5,2,0.325,3,2
1,3,0.453,1,3
2,3,0.789,4,5
3,3,0.365,2,4
4,3,0.524,1,2
5,3,0.678,3,5
1,4,0.234,1,2
2,4,0.542,3,4
3,4,0.654,2,5
4,4,0.876,4,1
5,4,0.321,3,2
1,5,0.678,1,3
2,5,0.897,4,5
3,5,0.325,2,4
4,5,0.453,1,2
5,5,0.789,3,5
1,6,0.365,1,3
2,6,0.524,4,5
3,6,0.678,2,4
4,6,0.234,1,2
5,6,0.542,3,4
1,7,0.654,1,3
2,7,0.876,4,5
3,7,0.321,2,4
4,7,0.512,1,2
5,7,0.412,3,5
1,8,0.678,1,3
2,8,0.897,4,5
3,8,0.325,2,4
4,8,0.453,1,2
5,8,0.789,3,5
1,9,0.365,1,3
2,9,0.524,4,5
3,9,0.678,2,4
4,9,0.234,1,2
5,9,0.542,3,4
1,10,0.654,1,3
2,10,0.876,4,5
3,10,0.321,2,4
4,10,0.512,1,2
5,10,0.412,3,5
