Iteration,Individual,X,Y,Fitness
1,0,0.011523688,0.004150985,0.038634432
1,1,0.019891307,-0.020817201,0.103392873
1,2,-0.01740558,-0.040868204,0.177421575
1,3,0.042095078,-0.025500101,0.202629589
1,4,0.070077166,-0.023283167,0.348171681
1,5,0.072591663,0.018548195,0.354991556
1,6,0.043863215,-0.062438993,0.36490478
1,7,0.078504275,-0.006338907,0.37982768
1,8,0.055394004,0.06237784,0.412999996
1,9,0.070852244,0.068770594,0.5229155
1,10,-0.086818895,0.057148358,0.56144616
1,11,0.04538224,-0.114541372,0.710440809
1,12,0.101212035,0.072620944,0.725299537
1,13,-0.025736407,-0.123859307,0.734303514
1,14,-0.060793591,0.112257974,0.748937048
1,15,0.101834533,0.079420068,0.763586891
1,16,0.111676429,-0.066779681,0.770040635
1,17,-0.142064793,0.041581988,0.914357861
1,18,-0.066597769,-0.135800509,0.947763028
1,19,0.143916101,-0.060580709,0.988076545
1,20,0.088083969,-0.127955516,0.988157607
1,21,0.155176409,-0.025363459,0.98914385
1,22,0.135860584,-0.085549145,1.033027357
1,23,-0.038122239,0.158660938,1.042274085
1,24,-0.165272876,-0.006426846,1.0565119
1,25,-0.138383483,0.08702567,1.05897366
1,26,0.160639687,0.039510077,1.061872211
1,27,-0.014498895,0.168226224,1.08655926
1,28,0.092073719,-0.140529979,1.10017193
1,29,0.153372925,-0.073496664,1.112513688
1,30,-0.056668748,-0.161955376,1.119878228
1,31,0.161721032,0.058168052,1.122805169
1,32,-0.017083676,0.172544497,1.125652531
1,33,0.118845227,-0.125866673,1.15044228
1,34,0.175312203,0.021970834,1.154588859
1,35,0.17390158,-0.048922271,1.195626663
1,36,0.16588124,0.075163659,1.218275717
1,37,-0.137878649,0.117189402,1.22131291
1,38,-0.081777328,-0.165026246,1.238999531
1,39,-0.18113871,-0.070716505,1.323867404
1,40,-0.014731387,0.199169135,1.350402548
1,41,0.005599492,0.202193921,1.371281099
1,42,-0.040535786,0.197805318,1.375472924
1,43,-0.066521947,0.189396817,1.376314177
1,44,0.143802255,-0.136997266,1.384563137
1,45,0.203884563,0.008946058,1.386853121
1,46,-0.098792888,0.175599373,1.398669636
1,47,-0.015507354,0.205718301,1.406423628
1,48,-0.088217137,0.18519986,1.425394805
1,49,-0.073952097,-0.195016824,1.447508688
1,50,-0.087607228,0.189560605,1.457120334
1,51,-0.151762103,0.141922416,1.46904748
1,52,0.024308709,-0.212272937,1.470195433
1,53,0.167269811,0.124892272,1.47405015
1,54,-0.208200605,0.055248801,1.496261054
1,55,-0.078163097,0.199576635,1.499348067
1,56,-0.174059138,-0.121771667,1.505691262
1,57,-0.21790332,0.015552572,1.508671221
1,58,-0.161248155,-0.141773203,1.532204031
1,59,-0.073850445,-0.209285438,1.561523108
1,60,0.141282083,-0.166615472,1.565965226
1,61,0.222880928,-0.033934991,1.571490398
1,62,-0.028561729,-0.227696344,1.603087741
1,63,0.164155646,-0.153774985,1.626717229
1,64,0.224321347,0.055528264,1.627746935
1,65,-0.211734123,0.087125681,1.629179546
1,66,-0.185144074,0.131343829,1.638689252
1,67,0.120374649,-0.195716539,1.657220991
1,68,0.140640343,-0.186002946,1.697057762
1,69,0.024567765,0.242031615,1.714189244
1,70,0.239512433,-0.046487754,1.728397132
1,71,0.086203226,-0.225123051,1.729528616
1,72,-0.241794807,0.045396357,1.744243728
1,73,-0.115287692,-0.213724043,1.765326737
1,74,-0.018264233,-0.250587777,1.776177502
1,75,-0.03098624,0.255704889,1.829490207
1,76,-0.202592468,0.143824136,1.830893259
1,77,-0.237591228,0.089073572,1.834947761
1,78,-0.229501449,0.109610386,1.856147728
1,79,-0.258926552,0.035373544,1.860392584
1,80,0.153467035,-0.199693744,1.864709005
1,81,0.20546978,-0.148956197,1.878988637
1,82,-0.261564121,-0.035126086,1.880197243
1,83,-0.257495284,-0.06147381,1.901086992
1,84,-0.216582205,0.138977639,1.902861575
1,85,-0.043829247,-0.264065989,1.913140858
1,86,-0.183378758,0.179642775,1.91372278
1,87,-0.23184119,-0.119329187,1.916056019
1,88,0.082097265,0.252829436,1.924988497
1,89,-0.261802013,0.074425878,1.967755455
1,90,-0.133972938,0.230050931,1.9720214
1,91,0.087523807,0.257163505,1.974571187
1,92,0.159801912,-0.211937318,1.982741399
1,93,-0.111566345,-0.246616254,1.988387119
1,94,0.207351154,0.166416519,1.989547245
1,95,-0.281917055,-0.023406738,2.018225304
1,96,0.148968435,-0.226522544,2.02286863
1,97,0.025369203,-0.282639008,2.02532596
1,98,0.26966463,0.077416626,2.033434726
1,99,0.21180524,-0.170283959,2.040565965
2,0,0.002965772,-0.00785433,0.025622319
2,1,0.012708877,0.005460884,0.044211881
2,2,0.021519948,0.005446402,0.075857518
2,3,-0.017393985,0.028803755,0.125083819
2,4,0.025327384,0.024416763,0.132193306
2,5,-0.047233537,0.027839501,0.233461671
2,6,0.05109905,0.031337297,0.26287511
2,7,-0.006571628,0.061529293,0.27385487
2,8,-0.007748144,-0.071297152,0.33420942
2,9,0.062048556,0.040050629,0.348803976
2,10,-0.028255671,-0.07323645,0.378760731
2,11,-0.047530154,0.068966719,0.415083016
2,12,-0.004442366,0.086165637,0.43063013
2,13,0.07647083,-0.045794512,0.452405183
2,14,-0.08820206,0.023008313,0.465289117
2,15,0.067611882,-0.070747299,0.516368657
2,16,0.043589398,0.088448099,0.520542056
2,17,-0.106799793,-0.018494303,0.591728938
2,18,0.026532546,0.120451915,0.709023458
2,19,-0.002636457,-0.123567661,0.709563298
2,20,-0.058039045,-0.109180787,0.715918699
2,21,-0.117050043,0.051558839,0.749378797
2,22,-0.104482425,0.076236809,0.764884174
2,23,-0.124186294,0.038836311,0.765315729
2,24,0.131860393,0.005272736,0.776994987
2,25,0.016569843,0.133994021,0.802502509
2,26,0.110552002,-0.077800672,0.813782871
2,27,-0.079727826,-0.109364553,0.815355571
2,28,0.129922287,-0.045234793,0.827695329
2,29,0.139237932,-7.93E-04,0.836518594
2,30,-0.066082127,0.121621846,0.838888463
2,31,0.129099642,0.051174042,0.839677163
2,32,0.07753514,0.117183128,0.858666674
2,33,-0.069963808,-0.122168295,0.859569875
2,34,-0.113548992,0.090208634,0.899039734
2,35,-0.005067676,-0.148400707,0.913484356
2,36,0.016202658,0.148164766,0.918898723
2,37,0.087547698,0.121552022,0.939907211
2,38,0.020357916,-0.152102072,0.956472913
2,39,-0.026643326,-0.151748743,0.962541335
2,40,0.13613411,-0.070512741,0.966427694
2,41,0.126836633,0.086917376,0.974150175
2,42,-0.134412268,0.077303123,0.983194201
2,43,-0.152562365,-0.041188982,0.99902568
2,44,0.006069379,0.15951251,1.007453699
2,45,-0.089974842,-0.132885112,1.033463741
2,46,-0.0636096,0.157593904,1.108045767
2,47,-0.157017484,-0.074128827,1.143809543
2,48,0.061692184,0.166894668,1.176626973
2,49,0.180639355,-0.01486996,1.192686391
2,50,0.052016839,-0.173339786,1.199490209
2,51,0.158104412,-0.085218704,1.200205562
2,52,-0.151128007,0.100555842,1.222473145
2,53,0.114625351,-0.142698631,1.239674209
2,54,-0.003139416,0.190183113,1.268442956
2,55,-0.192268826,-0.001355574,1.286037142
2,56,-0.02011025,-0.1914482,1.289733524
2,57,0.187170307,-0.053565568,1.318396136
2,58,-0.143373833,0.127125072,1.31958632
2,59,0.140428884,-0.13070887,1.322067272
2,60,0.177088849,-0.082639078,1.337868738
2,61,0.042224462,-0.207789445,1.462102773
2,62,-0.097811242,-0.18801481,1.489701419
2,63,-0.201398288,-0.075455239,1.504079853
2,64,-0.199351642,-0.080374571,1.505816979
2,65,0.208881488,0.061628868,1.519579228
2,66,0.204702376,-0.074725739,1.527935723
2,67,-0.197673116,0.092413879,1.540904196
2,68,-0.052425885,0.21458972,1.541219533
2,69,0.222585308,-0.004649799,1.542309926
2,70,0.14308512,0.163819803,1.55782036
2,71,0.21790674,0.055273311,1.575350994
2,72,-0.181046773,0.137310688,1.64316613
2,73,0.220814237,0.073041963,1.650375638
2,74,0.15749722,0.165000176,1.655855751
2,75,0.238958627,-0.016625413,1.682224217
2,76,-0.215769945,-0.095576639,1.694017173
2,77,-0.021298589,-0.240857974,1.701463412
2,78,-0.21161629,0.104794594,1.701705006
2,79,0.243702059,0.040012398,1.749314144
2,80,-0.178216304,0.158958486,1.752392027
2,81,0.102569323,0.222911702,1.777206661
2,82,0.054838129,-0.249827158,1.826950944
2,83,0.257717292,0.014931748,1.829561342
2,84,-0.23199711,-0.099421612,1.832331462
2,85,-0.258932454,-0.006845895,1.835272961
2,86,0.233375112,-0.099655151,1.843534435
2,87,0.25417137,-0.056154837,1.863235323
2,88,0.261332149,-0.036833894,1.880952567
2,89,0.131480678,-0.219050539,1.882276311
2,90,0.081708236,0.250713789,1.908041483
2,91,-0.016364605,-0.269830242,1.923142817
2,92,0.219582231,-0.139236755,1.925152246
2,93,0.13547854,0.223527163,1.933771965
2,94,0.238721168,0.113508343,1.939962386
2,95,-0.210070858,-0.155696213,1.94750324
2,96,-0.273423152,-0.014770538,1.949094819
2,97,0.081472275,-0.259479694,1.971905631
2,98,-0.09901473,-0.254544449,1.99605975
2,99,0.173381076,0.203801408,2.006513541
3,0,0.038782801,0.04294867,0.250896123
3,1,-0.060078947,-0.00443894,0.264205852
3,2,-0.045592279,0.040110474,0.267584932
3,3,0.014652228,-0.062638162,0.28860826
3,4,0.024238052,0.064091451,0.314518911
3,5,-0.067850228,0.037642543,0.373163878
3,6,-0.086477107,-1.16E-04,0.431966257
3,7,-0.050892244,0.072436551,0.448380709
3,8,-0.080114042,0.054837532,0.510170797
3,9,-0.049067146,0.089239887,0.54499433
3,10,-0.105892901,0.008153987,0.574730615
3,11,-0.019593477,0.10545465,0.583224496
3,12,-0.049556171,-0.099941066,0.619039716
3,13,-0.066247728,-0.091799877,0.633663008
3,14,-0.075867551,-0.104438466,0.762750794
3,15,0.08050366,-0.106474397,0.799861085
3,16,-0.135055401,0.007880029,0.804170286
3,17,-0.041726545,0.128872278,0.809580051
3,18,-0.0255636,-0.13400086,0.814969011
3,19,0.074826636,-0.11419023,0.824577233
3,20,0.117648498,0.069486606,0.824629238
3,21,0.118986265,0.072928883,0.84979256
3,22,0.140072237,-0.019407686,0.855499246
3,23,0.139560744,0.027563714,0.863552848
3,24,0.093901209,0.108193015,0.884224469
3,25,-0.065365051,0.130595166,0.90306141
3,26,0.111419099,-0.094383064,0.908126362
3,27,0.122951388,-0.080366385,0.913524916
3,28,-0.002449095,0.150351769,0.929225849
3,29,-0.066887106,-0.133408709,0.930629395
3,30,0.153324508,-0.036761257,0.994995603
3,31,0.154048769,0.05414241,1.047531721
3,32,0.040057748,0.160394088,1.061096171
3,33,0.05419685,-0.158185748,1.081351646
3,34,0.079496553,-0.147443617,1.092106258
3,35,0.015028795,0.175244201,1.146789941
3,36,-0.039826057,-0.173422498,1.169405594
3,37,5.69E-04,-0.178673758,1.169758296
3,38,-0.076737565,-0.159442703,1.173701046
3,39,-0.053762192,-0.171189501,1.18676311
3,40,0.180794175,-0.0011382,1.187926907
3,41,-0.116299328,-0.13645116,1.206132875
3,42,0.047148887,-0.177254247,1.218891798
3,43,0.172013898,-0.064622456,1.228287504
3,44,0.18559473,-3.47E-04,1.228961979
3,45,-0.065062603,-0.176150165,1.263463572
3,46,0.174949367,-0.072321356,1.279843371
3,47,0.023987956,-0.193777223,1.314007638
3,48,0.195594132,-0.030382642,1.338429229
3,49,-0.15338426,0.127750021,1.39245674
3,50,-0.161996207,-0.120918079,1.413512956
3,51,0.181780473,0.092370959,1.416765853
3,52,0.080081491,0.189361816,1.425136331
3,53,0.115091987,0.169954483,1.439232841
3,54,-0.127038003,0.162581976,1.452954679
3,55,0.062198186,0.203787736,1.479863257
3,56,0.162732445,0.140081309,1.531967265
3,57,-0.225611523,0.020612193,1.576868266
3,58,-0.049797065,0.221535422,1.591438885
3,59,0.13991688,-0.172210194,1.596476647
3,60,-0.067578438,-0.217542464,1.6071323
3,61,-0.008520256,-0.231007957,1.612957349
3,62,-0.215906124,0.074470061,1.616265218
3,63,-0.147114798,0.171891502,1.637511259
3,64,-0.011360814,0.238459858,1.674880175
3,65,-0.179763719,0.145107471,1.679548448
3,66,0.160452888,0.168569863,1.697996808
3,67,-0.243536603,-0.020637334,1.722281192
3,68,-0.045631278,0.239153037,1.723827207
3,69,-0.246968741,0.005794739,1.740998075
3,70,-0.106911895,-0.217392827,1.754521281
3,71,0.158694567,-0.181636451,1.773566646
3,72,-0.236656185,-0.079675644,1.79533189
3,73,-0.225060808,0.104008158,1.799359308
3,74,0.14640037,0.197292674,1.808355446
3,75,0.033361171,-0.253141484,1.812820832
3,76,-0.154996337,-0.191325152,1.816705182
3,77,-0.161218689,0.187643119,1.828787204
3,78,-0.186205391,0.16308308,1.830451405
3,79,0.065260771,-0.247779132,1.837179012
3,80,0.029300228,-0.259007849,1.852858508
3,81,0.244771801,0.083145285,1.868360579
3,82,0.152773262,0.201303213,1.871743648
3,83,-0.147341974,-0.208874097,1.893592062
3,84,0.270774731,-0.027544771,1.940131253
3,85,-0.040909651,0.270664493,1.957545976
3,86,0.23535094,0.125523415,1.969305064
3,87,0.212328427,-0.16678724,2.024287287
3,88,0.037370466,-0.284488755,2.053108492
3,89,-0.169876122,0.214371082,2.054923189
3,90,0.21058007,0.177702393,2.074908053
3,91,0.29073261,-0.028511065,2.086580006
3,92,-0.293006483,-0.005573157,2.087960668
3,93,0.04896282,0.288565379,2.10084052
3,94,0.286041836,-0.069239489,2.127029076
3,95,-0.167349927,0.227963879,2.129162416
3,96,0.118768537,-0.263102605,2.132893105
3,97,-0.176481502,0.221207599,2.135622257
3,98,0.149288353,-0.245901746,2.154130346
3,99,-0.263900466,-0.123324375,2.157046991
4,0,0.045367477,-0.00958275,0.187429305
4,1,-0.041656271,0.028375288,0.209045798
4,2,0.054705185,-0.044250866,0.326584117
4,3,0.057218149,-0.043371886,0.33569981
4,4,-0.063212521,-0.037705193,0.347130345
4,5,0.006613849,0.075399055,0.359689796
4,6,-0.040121447,0.066845868,0.375704461
4,7,-0.012279793,0.083490223,0.417798115
4,8,-0.01030909,-0.099951535,0.532128619
4,9,-0.077450948,0.06450932,0.538204312
4,10,-0.068188316,-0.078486272,0.562298116
4,11,-0.087798398,-0.058128127,0.571819339
4,12,0.05156801,0.096845752,0.605085568
4,13,-0.067787874,-0.098057635,0.681431876
4,14,0.06983642,0.100052994,0.704250173
4,15,-0.115401243,-0.049099496,0.72878627
4,16,-0.032932227,-0.123550251,0.74616081
4,17,-0.080679504,-0.100663721,0.762561174
4,18,-0.111162458,0.070774258,0.78438093
4,19,0.11906576,-0.060457034,0.79717576
4,20,-0.095237002,-0.106831638,0.883110079
4,21,-0.135255982,0.05112134,0.887569685
4,22,-0.061058223,-0.134668156,0.917517275
4,23,0.164714574,0.037851956,1.092151355
4,24,-0.097719489,0.138467164,1.114600187
4,25,-0.016194879,-0.175114553,1.146710275
4,26,0.010543002,-0.182754494,1.207718899
4,27,-0.184295373,0.00711131,1.21922821
4,28,-0.061426386,-0.172432814,1.22090736
4,29,-0.143304056,0.110654934,1.220996154
4,30,-0.065003715,-0.173777661,1.243950036
4,31,-0.136837549,0.125565459,1.265619815
4,32,-0.086689223,-0.165863358,1.267144572
4,33,0.141283688,0.124429206,1.288703992
4,34,0.190735777,-0.02768358,1.293265767
4,35,-0.186062075,0.048590246,1.295960152
4,36,-0.087672136,0.169555854,1.300355268
4,37,0.020550538,-0.196618016,1.334091143
4,38,0.151008798,-0.120874078,1.334894335
4,39,-0.03680151,0.194508042,1.340439201
4,40,-0.054358861,0.190025748,1.344227276
4,41,-0.186193156,-0.073960538,1.376513922
4,42,0.176338512,0.093551599,1.379796431
4,43,-0.208184003,-0.016689367,1.428162086
4,44,0.074479772,-0.192550305,1.429576185
4,45,-0.143634568,0.144418002,1.431461591
